animal_type;breeding_type;pain_type;pain_intensity;caliber;pain_per_egg_in_seconds
laying_hen;furnished_cage;psychological;hurtful;medium;23156.28
laying_hen;furnished_cage;physical;hurtful;medium;14660.4
laying_hen;furnished_cage;psychological;excruciating;medium;0
laying_hen;furnished_cage;physical;excruciating;medium;0.46455
laying_hen;furnished_cage;psychological;disabling;medium;688.08
laying_hen;furnished_cage;physical;disabling;medium;1165.92
laying_hen;furnished_cage;psychological;annoying;medium;59115
laying_hen;furnished_cage;physical;annoying;medium;14587.68
laying_hen;conventional_cage;physical;disabling;medium;1089.6
laying_hen;conventional_cage;physical;hurtful;medium;12125.64
laying_hen;conventional_cage;physical;annoying;medium;11968.8
laying_hen;conventional_cage;physical;excruciating;medium;0.543
laying_hen;conventional_cage;psychological;excruciating;medium;0
laying_hen;conventional_cage;psychological;disabling;medium;4087.44
laying_hen;conventional_cage;psychological;hurtful;medium;36504.36
laying_hen;conventional_cage;psychological;annoying;medium;68040
laying_hen;barn;physical;excruciating;medium;0.4848
laying_hen;barn;physical;disabling;medium;1475.88
laying_hen;barn;physical;hurtful;medium;18804.96
laying_hen;barn;physical;annoying;medium;18353.64
laying_hen;barn;psychological;excruciating;medium;0
laying_hen;barn;psychological;disabling;medium;396.72
laying_hen;barn;psychological;hurtful;medium;2098.2
laying_hen;barn;psychological;annoying;medium;3732.72
laying_hen;furnished_cage;psychological;hurtful;small;20840.652
laying_hen;furnished_cage;physical;hurtful;small;13194.36
laying_hen;furnished_cage;psychological;excruciating;small;0
laying_hen;furnished_cage;physical;excruciating;small;0.418095
laying_hen;furnished_cage;psychological;disabling;small;619.272
laying_hen;furnished_cage;physical;disabling;small;1049.328
laying_hen;furnished_cage;psychological;annoying;small;53203.5
laying_hen;furnished_cage;physical;annoying;small;13128.912
laying_hen;conventional_cage;physical;disabling;small;980.64
laying_hen;conventional_cage;physical;hurtful;small;10913.076
laying_hen;conventional_cage;physical;annoying;small;10771.92
laying_hen;conventional_cage;physical;excruciating;small;0.4887
laying_hen;conventional_cage;psychological;excruciating;small;0
laying_hen;conventional_cage;psychological;disabling;small;3678.696
laying_hen;conventional_cage;psychological;hurtful;small;32853.924
laying_hen;conventional_cage;psychological;annoying;small;61236
laying_hen;barn;physical;excruciating;small;0.43632
laying_hen;barn;physical;disabling;small;1328.292
laying_hen;barn;physical;hurtful;small;16924.464
laying_hen;barn;physical;annoying;small;16518.276
laying_hen;barn;psychological;excruciating;small;0
laying_hen;barn;psychological;disabling;small;357.048
laying_hen;barn;psychological;hurtful;small;1888.38
laying_hen;barn;psychological;annoying;small;3359.448
laying_hen;furnished_cage;psychological;hurtful;large;25471.908
laying_hen;furnished_cage;physical;hurtful;large;16126.44
laying_hen;furnished_cage;psychological;excruciating;large;0
laying_hen;furnished_cage;physical;excruciating;large;0.511005
laying_hen;furnished_cage;psychological;disabling;large;756.888
laying_hen;furnished_cage;physical;disabling;large;1282.512
laying_hen;furnished_cage;psychological;annoying;large;65026.5
laying_hen;furnished_cage;physical;annoying;large;16046.448
laying_hen;conventional_cage;physical;disabling;large;1198.56
laying_hen;conventional_cage;physical;hurtful;large;13338.204
laying_hen;conventional_cage;physical;annoying;large;13165.68
laying_hen;conventional_cage;physical;excruciating;large;0.5973
laying_hen;conventional_cage;psychological;excruciating;large;0
laying_hen;conventional_cage;psychological;disabling;large;4496.184
laying_hen;conventional_cage;psychological;hurtful;large;40154.796
laying_hen;conventional_cage;psychological;annoying;large;74844
laying_hen;barn;physical;excruciating;large;0.53328
laying_hen;barn;physical;disabling;large;1623.468
laying_hen;barn;physical;hurtful;large;20685.456
laying_hen;barn;physical;annoying;large;20189.004
laying_hen;barn;psychological;excruciating;large;0
laying_hen;barn;psychological;disabling;large;436.392
laying_hen;barn;psychological;hurtful;large;2308.02
laying_hen;barn;psychological;annoying;large;4105.992
laying_hen;furnished_cage;psychological;hurtful;extra_large;27787.536
laying_hen;furnished_cage;physical;hurtful;extra_large;17592.48
laying_hen;furnished_cage;psychological;excruciating;extra_large;0
laying_hen;furnished_cage;physical;excruciating;extra_large;0.55746
laying_hen;furnished_cage;psychological;disabling;extra_large;825.696
laying_hen;furnished_cage;physical;disabling;extra_large;1399.104
laying_hen;furnished_cage;psychological;annoying;extra_large;70938
laying_hen;furnished_cage;physical;annoying;extra_large;17505.216
laying_hen;conventional_cage;physical;disabling;extra_large;1307.52
laying_hen;conventional_cage;physical;hurtful;extra_large;14550.768
laying_hen;conventional_cage;physical;annoying;extra_large;14362.56
laying_hen;conventional_cage;physical;excruciating;extra_large;0.6516
laying_hen;conventional_cage;psychological;excruciating;extra_large;0
laying_hen;conventional_cage;psychological;disabling;extra_large;4904.928
laying_hen;conventional_cage;psychological;hurtful;extra_large;43805.232
laying_hen;conventional_cage;psychological;annoying;extra_large;81648
laying_hen;barn;physical;excruciating;extra_large;0.58176
laying_hen;barn;physical;disabling;extra_large;1771.056
laying_hen;barn;physical;hurtful;extra_large;22565.952
laying_hen;barn;physical;annoying;extra_large;22024.368
laying_hen;barn;psychological;excruciating;extra_large;0
laying_hen;barn;psychological;disabling;extra_large;476.064
laying_hen;barn;psychological;hurtful;extra_large;2517.84
laying_hen;barn;psychological;annoying;extra_large;4479.264
